trt,MRO,MRC,MCA
OTU1_Sphingobacteriaceae_unclassified,0.191815822,0.016013424,0
OTU2_Prevotella,0.000414326,0.095286433,0.098027842
OTU3_Prevotella,0.000400504,0.149879847,0.036176926
OTU4_Prevotellaceae_unclassified,0.11708651,0.000324545,0.000359071
OTU5_Sphingobacteriaceae_unclassified,0.111341288,0.000359071,2.07167E-05
OTU6_Prevotella,4.83432E-05,0.013486074,0.058895426
OTU7_Prevotella,0.004081041,0.019348691,0.045816761
OTU8_Prevotella,0.000186438,0.054551989,0.011635461
OTU9_Succinivibrio,0.000359078,0.014984527,0.047384267
OTU10_Roseburia,2.76167E-05,0.044856928,0.008956193
OTU11_Fibrobacter,0.001104845,0.00473704,0.047404984
OTU12_Selenomonas,2.76213E-05,0.035562364,0.014148979
OTU13_Prevotella,0.0000069,0.004143178,0.040230361
OTU14_Prevotella,0.0000138,0.036418623,0.002741405
OTU15_Prevotellaceae_unclassified,0,0.002914032,0.035396642
OTU16_Prevotella,6.90592E-05,0.035472594,0.000718153
OTU17_Lachnospiraceae_unclassified,8.97592E-05,0.008058497,0.027759364
OTU18_Prevotella,0.010164623,0.000158822,0.019231301
OTU19_Prevotella,0.0000069,0.027241471,0.00219589
OTU20_Olsenella,9.66638E-05,0.022794443,0.004723235
OTU21_Prevotella,6.90532E-05,0.020805712,0.002907138
OTU22_Succiniclasticum,0,0.004909673,0.018167871
OTU23_Spirochaetaceae_unclassified,0.000214054,0.014936196,0.006891498
OTU24_Cloacibacillus,0.021641255,0.0000138,0
OTU25_Prevotella,0.000227875,0.009888405,0.010489179
OTU26_Ruminobacter,0.01307176,0.003901509,0.003314545
OTU27_Prevotellaceae_unclassified,0.0000138,0.00756132,0.011814993
OTU28_Prevotella,0.002230417,0.0077961,0.008935477
OTU29_Prevotella,0.006787919,0.011932389,0.000110474
OTU30_Prevotellaceae_unclassified,0.018381942,0.000352171,0
others,0.500020789,0.331310135,0.435545851
